"MFC","OFC","VFC","DFC","STC","ITC","A1C","IPC","S1C","M1C","V1C","AMY","HIP","STR","MD","CBC"
8.74438666666667,8.663495,8.59648833333333,8.61985833333333,8.688224,8.754185,8.775285,8.64746333333333,8.67420833333333,8.588565,8.57495333333333,8.55090833333333,8.61194166666667,8.70020333333333,8.723485,8.720055
8.64462333333333,8.6296,8.63658666666667,8.52996166666667,8.827285,8.71201333333333,8.70159666666667,8.67203666666667,8.65353833333333,8.616485,8.728142,8.559422,8.649772,8.67537833333333,8.48193,8.6785425
8.50306714285714,8.441852,8.53690142857143,8.56561142857143,8.57551285714286,8.8534,8.507492,8.57843714285714,8.824065,8.85156,8.5717,8.662872,8.68844142857143,8.621385,8.62529166666667,8.40387
8.43002076923077,8.43041111111111,8.40471153846154,8.36249307692308,8.47107923076923,8.4530475,8.52438769230769,8.47530230769231,8.4255525,8.57631,8.50503692307692,8.51319333333333,8.43450769230769,8.46228230769231,8.61629769230769,8.57085818181818
8.959435,8.8155225,8.85958,9.02146,8.874622,8.843715,9.081646,9.053245,8.94765,9.049425,8.922935,8.881595,8.86619666666667,9.05625666666667,8.75845333333333,8.794325
9.216678,9.249978,9.088164,8.98652,9.040408,9.21468,9.090944,8.994538,9.089284,9.05455,9.052242,9.105542,9.23715,9.254738,9.343258,9.142226
8.85412,8.950065,8.8426975,8.8494725,8.72056,8.8422475,8.91245,8.9306225,8.7411825,8.75382,8.8001375,8.77776666666667,9.01906,9.06094,9.1182075,8.7887625
9.0987425,8.75718666666667,9.132324,9.091225,9.209668,8.857398,9.184486,9.010752,9.111516,9.094212,9.00398,8.930955,9.16196,9.19396,9.28109333333333,9.149914
8.70568,8.72515,8.58351333333333,8.64398666666667,8.48507333333333,8.62298666666667,8.83076333333333,8.61315333333333,8.575145,8.795195,8.59898,8.79474666666667,8.81314333333333,9.26071,8.97576,8.70386
8.81516666666667,8.901825,8.76061166666667,8.79069333333333,8.83446166666667,8.87813166666667,8.69067166666667,8.85562666666667,8.80810166666667,8.85340333333333,8.958214,8.796505,9.019002,8.9639625,8.95077,8.962154
8.592211875,8.534123125,8.45883615384615,8.51592642857143,8.63787153846154,8.54564428571429,8.57829571428571,8.55480285714286,8.57597076923077,8.56380153846154,8.64267428571429,8.69250769230769,8.77051333333333,8.80150142857143,8.79405785714286,8.88743
8.60886,8.574125,8.567475,8.522835,8.515325,8.56304666666667,8.5954,8.67303,8.718144,8.646766,8.796765,8.742406,8.820164,8.92618,8.87491333333333,8.660288
8.54284333333333,8.700028,8.435668,8.70189166666667,8.600365,8.6829,8.584435,8.598925,8.64782,8.65570666666667,8.69366833333333,8.74441333333333,8.75164833333333,8.85675666666667,8.88520333333333,8.848202
