,,EP Poll Average,,&#160;,,&#160;,,47.5,,41.5,,Clinton +6.0,,
,,,Washington Post/SM,,,8/9 - 9/1,,2428 RV,,46,,44,,Clinton +2,,
,,,Quinnipiac,,,8/9 - 8/16,,830 LV,,49,,39,,Clinton +10,,
,,,NBC News/Wall St Journal,,,8/4 - 8/10,,899 RV,,46,,32,,Clinton +14,,
,,,Monmouth University,,,7/9 - 7/12,,404 LV,,48,,35,,Clinton +13,,
,,,FOX News,,,7/9 - 7/12,,600 RV,,44,,34,,Clinton +10,,
,,,NBC News/Wall St Journal,,,7/5 - 7/11,,794 RV,,43,,35,,Clinton +8,,
,,,Harper (R),,,7/7 - 7/9,,500 LV,,45,,38,,Clinton +7,,
,,,Gravis Marketing (R),,,7/7 - 7/8,,1313 A,,43,,41,,Clinton +2,,
,,,CBS News/YouGov,,,6/21 - 6/24,,996 LV,,40,,39,,Clinton +1,,
,,,Morning Consult,,,4/15 - 6/15,,RV,,45,,37,,Clinton +8,,
,,,Quinnipiac,,,11/11 - 11/15,,1262 RV,,37,,48,,Trump +11,,
