airport,index
JFK,67
GSP,140
FNT,126
GST,284
SIT,265
MIA,7
HHH,311
BOS,1
OAK,37
BGM,150
LIT,108
BOI,21
BGR,151
YUM,197
DRO,208
VIS,191
WYS,281
CPR,180
RKS,322
AGS,231
EGE,42
PIH,179
TLH,159
SAN,6
PIA,210
MYR,86
BTM,188
DCA,46
SPI,280
LBB,101
HSV,156
MQT,254
RAP,124
LBF,296
BWI,44
PIR,320
PIT,20
RIC,40
SAT,3
MEI,242
CHA,149
ABY,238
ISP,106
IAH,23
TPA,81
ITO,248
BQN,273
LIH,68
SBP,203
FWA,160
JAN,107
HRL,104
SLE,317
CHS,91
EYW,244
WRG,267
GPT,120
BNA,83
JAC,59
BMI,247
LAN,127
ITH,326
JNU,261
SNA,30
PHL,39
PHF,171
IPL,196
BIS,133
RHI,306
SFO,9
MKG,323
PHX,71
LAX,14
MAF,102
DBQ,255
ISO,274
MBS,123
APF,235
TYR,217
LAS,79
GUC,72
CRP,109
CRW,164
CMI,172
CMH,34
AEX,224
GJT,176
MTH,309
FLL,78
DEN,11
BZN,128
HDN,136
DTW,54
EVV,161
LSE,129
CEC,192
MFE,229
SYR,87
BUR,26
ROA,166
ROC,13
VLD,237
SCC,260
BFL,194
MFR,204
GEG,32
GSO,57
LMT,324
SUX,300
BUF,27
TTN,302
ROW,286
TRI,169
GCC,321
GRR,52
EWN,315
SHV,157
BDL,61
CSG,232
DLH,117
HKY,276
OXR,201
LEX,138
DSM,12
GRB,122
YKM,316
RFD,295
EWR,49
MHT,28
PBI,70
GRK,214
BJI,319
STT,75
BTV,77
RNO,55
LRD,223
ANC,56
PSC,185
GNV,234
SCE,170
AVP,162
PSG,266
MGM,236
MOT,131
AVL,174
HLN,154
OKC,43
HTS,167
LAR,278
ELM,303
IND,35
MOB,226
PSP,47
TYS,153
LCH,227
MOD,205
EKO,184
ILG,299
COS,51
SPS,251
FSD,111
SMX,202
ACK,282
SUN,178
ATL,17
ILM,94
HNL,64
PIE,230
XNA,115
ATW,146
DLG,258
COD,183
ACT,213
SMF,4
ACY,152
IDA,187
PMD,314
LAW,250
PVU,290
LFT,225
AZO,130
ASE,291
ALO,307
TEX,293
FCA,119
GGG,252
ACV,193
PVD,60
SEA,16
GLH,312
SLC,10
OAJ,294
MDW,103
MDT,22
RDU,88
OTH,325
CKB,289
LNK,209
GTF,186
PDX,15
CLD,195
CLE,29
DFW,38
SJT,215
SJU,66
FMN,279
RDD,206
AUS,62
SRQ,135
YAK,264
CLT,31
SJC,24
ELP,99
SWF,141
ADK,269
MKC,313
CAK,142
OMA,18
FAR,112
BLI,297
OME,272
HVN,144
MEM,113
LYH,240
TUS,58
ALB,19
PUB,275
SAV,90
BRO,228
BRW,270
CDV,263
SBA,163
TUL,45
TVC,137
CDC,181
ORF,89
PLN,304
ORD,2
SBN,158
CIC,200
CLL,216
MKE,96
TWF,177
FLO,243
MSY,41
CID,125
KOA,74
LWS,222
CMX,305
IYK,198
MSP,8
MSO,132
MSN,114
BPT,211
TOL,148
LWB,277
CVG,53
PSE,285
ERI,168
CAE,145
MRY,199
CYS,221
INL,318
BIL,76
FAY,245
RDM,207
JAX,85
VPS,118
GFK,110
DAL,98
ADQ,257
SGU,182
OTZ,271
FAT,189
RCA,301
SOP,298
BTR,116
BET,259
IAD,25
FAI,256
EAU,310
DAY,5
ONT,82
SGF,121
MLB,147
DHN,233
AKN,268
ABE,84
STL,33
ABI,212
MLI,173
EUG,190
BQK,246
MTJ,73
ABQ,48
KTN,262
HOU,100
VCT,220
HPN,139
MLU,219
CWA,288
TXK,218
FLG,292
CHO,165
STX,93
TUP,283
ICT,65
MCO,80
MCN,241
PWM,95
BHM,92
DAB,143
MCI,36
LGB,249
PNS,175
LGA,50
GTR,239
BFF,308
PFN,155
AMA,97
SDF,105
FSM,253
RST,134
OGD,287
OGG,69
RSW,63
